Name,Author,User Rating,Reviews,Price,Price_r,Year,Genre
10-Day Green Smoothie Cleanse,JJ Smith,4.7,"17,350",$8.00,$8,2016,Non Fiction
11/22/63: A Novel,Stephen King,4.6,"2,052",$22.00,$22,2011,Fiction
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,"18,979",$15.00,$15,2018,Non Fiction
1984,George Orwell,4.7,"70,425",$7.48,$8,2021,Fiction
1984 (Signet Classics),George Orwell,4.7,"21,424",$6.00,$6,2017,Fiction
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,4.8,"7,665",$12.00,$12,2019,Non Fiction
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,"12,643",$11.00,$11,2011,Fiction
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,4.7,"19,735",$30.00,$30,2014,Fiction
A Gentleman in Moscow: A Novel,Amor Towles,4.7,"19,699",$15.00,$15,2017,Fiction
"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.7,"5,983",$3.00,$3,2018,Non Fiction
A Man Called Ove: A Novel,Fredrik Backman,4.6,"23,848",$8.00,$8,2016,Fiction
A Man Called Ove: A Novel,Fredrik Backman,4.6,"23,848",$8.00,$8,2017,Fiction
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.6,460,$2.00,$2,2010,Non Fiction
A Promised Land,Barack Obama,4.9,"83,212",$23.00,$23,2020,Non Fiction
A Stolen Life: A Memoir,Jaycee Dugard,4.6,"4,149",$32.00,$32,2011,Non Fiction
A Wrinkle in Time (Time Quintet),Madeleine L'Engle,4.5,"5,153",$5.00,$5,2018,Fiction
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,4.6,"5,013",$17.00,$17,2009,Non Fiction
"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",Adult Coloring Book Designs,4.5,"2,313",$4.00,$4,2016,Non Fiction
Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,4.6,"2,925",$6.00,$6,2015,Non Fiction
Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,4.4,"2,951",$6.00,$6,2015,Non Fiction
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley???????",Coloring Books for Adults,4.5,"2,426",$8.00,$8,2015,Non Fiction
Alexander Hamilton,Ron Chernow,4.8,"9,198",$13.00,$13,2016,Non Fiction
All the Light We Cannot See,Anthony Doerr,4.6,"36,348",$14.00,$14,2014,Fiction
All the Light We Cannot See,Anthony Doerr,4.6,"36,348",$14.00,$14,2015,Fiction
Allegiant,Veronica Roth,3.9,"6,310",$13.00,$13,2013,Fiction
American Dirt (Oprah's Book Club),Jeanine Cummins,4.6,"41,716",$17.00,$17,2020,Fiction
American Marxism,Mark R. Levin,4.8,"33,712",$12.52,$13,2021,Non Fiction
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,4.6,"15,921",$9.00,$9,2015,Non Fiction
And the Mountains Echoed,Khaled Hosseini,4.3,"12,159",$13.00,$13,2013,Fiction
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.6,798,$5.00,$5,2009,Non Fiction
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7,"9,374",$9.00,$9,2017,Non Fiction
Atlas of the Heart: Mapping Meaningful Connection and the Language of Human,Brené Brown,4.8,"13,893",$17.78,$18,2021,Non Fiction
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8,"29,634",$12.00,$12,2020,Non Fiction
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8,"104,159",$11.98,$12,2021,Non Fiction
"Autobiography of Mark Twain, Vol. 1",Mark Twain,4.2,491,$14.00,$14,2010,Non Fiction
Baby Touch and Feel: Animals,DK,4.6,"5,360",$5.00,$5,2015,Non Fiction
Balance (Angie's Extreme Stress Menders),Angie Grace,4.6,"1,909",$11.00,$11,2015,Non Fiction
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,"1,296",$24.00,$24,2012,Non Fiction
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,4.7,615,$21.00,$21,2010,Non Fiction
Becoming,Michelle Obama,4.8,"61,133",$11.00,$11,2018,Non Fiction
Becoming,Michelle Obama,4.8,"61,133",$11.00,$11,2019,Non Fiction
Becoming,Michelle Obama,4.8,"99,498",$10.00,$10,2020,Non Fiction
Being Mortal: Medicine and What Matters in the End,Atul Gawande,4.8,"11,113",$15.00,$15,2015,Non Fiction
Between the World and Me,Ta-Nehisi Coates,4.7,"10,070",$13.00,$13,2015,Non Fiction
Between the World and Me,Ta-Nehisi Coates,4.7,"10,070",$13.00,$13,2016,Non Fiction
Big Shot (Diary of a Wimpy Kid,Jeff Kinney,4.9,"19,470",$7.49,$8,2021,Fiction
Born to Run,Bruce Springsteen,4.7,"3,729",$18.00,$18,2016,Non Fiction
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.6,"9,769",$13.00,$13,2009,Fiction
"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,4.5,471,$8.00,$8,2010,Non Fiction
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,"14,344",$5.00,$5,2017,Fiction
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,"14,344",$5.00,$5,2019,Fiction
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,"25,321",$5.00,$5,2020,Fiction
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,"45,919",$5.36,$6,2021,Fiction
Burn After Writing,Sharon Jones,4.6,"26,423",$8.00,$8,2020,Non Fiction
Burn After Writing (Pink),Sharon Jones,4.6,"75,520",$6.99,$7,2021,Non Fiction
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,4.8,"4,505",$0.00,$0,2011,Fiction
Call Us What We Carry: Poems,Amanda Gorman,4.8,"4,153",$13.58,$14,2021,Fiction
Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,4.6,"10,369",$4.00,$4,2016,Non Fiction
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,"16,244",$18.00,$18,2019,Non Fiction
Capital in the Twenty First Century,Thomas Piketty,4.5,"2,884",$28.00,$28,2014,Non Fiction
Caste (Oprah's Book Club): The Origins of Our Discontents,Isabel Wilkerson,4.8,"21,967",$19.00,$19,2020,Non Fiction
Caste (Oprah's Book Club): The Origins of Our Discontents,Isabel Wilkerson,4.8,"40,535",$14.34,$15,2021,Non Fiction
Catching Fire (The Hunger Games),Suzanne Collins,4.7,"22,614",$11.00,$11,2010,Fiction
Catching Fire (The Hunger Games),Suzanne Collins,4.7,"22,614",$11.00,$11,2011,Fiction
Catching Fire (The Hunger Games),Suzanne Collins,4.7,"22,614",$11.00,$11,2012,Fiction
Chicka Chicka Boom Boom,Bill Martin Jr.,4.9,"20,705",$4.00,$4,2020,Fiction
Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,4.7,"4,761",$16.00,$16,2016,Non Fiction
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,"1,542",$14.00,$14,2009,Non Fiction
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,"1,542",$14.00,$14,2010,Non Fiction
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,"1,542",$14.00,$14,2011,Non Fiction
Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,4.3,"6,143",$8.00,$8,2018,Fiction
Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,"4,022",$4.00,$4,2015,Non Fiction
Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,"3,871",$5.00,$5,2015,Non Fiction
Crystals for Beginners: The Guide to Get Started with the Healing Power of Crystals,Karen Frazier ,4.8,"35,003",$8.99,$9,2021,Non Fiction
Cutting for Stone,Abraham Verghese,4.6,"4,866",$11.00,$11,2010,Fiction
Cutting for Stone,Abraham Verghese,4.6,"4,866",$11.00,$11,2011,Fiction
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brene???? Brown,4.8,"1,329",$10.00,$10,2013,Non Fiction
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.4,"4,642",$13.00,$13,2013,Non Fiction
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,4.6,"1,541",$4.00,$4,2009,Fiction
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,4.3,"1,924",$8.00,$8,2010,Fiction
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,4.2,"2,094",$4.00,$4,2011,Fiction
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,"10,922",$5.00,$5,2015,Fiction
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,"10,922",$5.00,$5,2016,Fiction
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,"10,922",$5.00,$5,2017,Fiction
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,"10,922",$5.00,$5,2018,Fiction
Decision Points,George W. Bush,4.6,"2,137",$17.00,$17,2010,Non Fiction
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,4.6,"1,651",$15.00,$15,2010,Non Fiction
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,"6,679",$105.00,$105,2013,Non Fiction
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,"6,679",$105.00,$105,2014,Non Fiction
"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,4.8,"6,812",$0.00,$0,2013,Fiction
Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,"3,837",$15.00,$15,2009,Fiction
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,4.8,"6,540",$22.00,$22,2014,Fiction
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,4.6,"7,955",$5.00,$5,2019,Non Fiction
Divergent,Veronica Roth,4.6,"27,098",$15.00,$15,2013,Fiction
Divergent,Veronica Roth,4.6,"27,098",$15.00,$15,2014,Fiction
Divergent / Insurgent,Veronica Roth,4.5,"17,684",$6.00,$6,2014,Fiction
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All???????",Zhi Gang Sha,4.6,37,$6.00,$6,2009,Non Fiction
Doctor Sleep: A Novel,Stephen King,4.7,"15,845",$13.00,$13,2013,Fiction
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.8,"3,181",$12.00,$12,2009,Fiction
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,4.9,"5,062",$6.00,$6,2018,Fiction
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,4.9,"4,786",$8.00,$8,2017,Fiction
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,"7,235",$4.00,$4,2018,Fiction
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,"7,235",$4.00,$4,2019,Fiction
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,4.9,"12,619",$8.00,$8,2019,Fiction
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,4.9,"9,089",$8.00,$8,2019,Fiction
Dog Man: Grime and Punishment,Dav Pilkey,4.9,"31,045",$6.00,$6,2020,Fiction
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,4.9,"5,470",$6.00,$6,2018,Fiction
Dog Man: Mothering Heights: A Graphic Novel,Dav Pilkey,4.9,"22,196",$6.62,$7,2021,Fiction
Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,4.8,"5,118",$20.00,$20,2016,Fiction
Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,4.6,"2,134",$5.00,$5,2015,Non Fiction
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,4.5,"2,525",$16.00,$16,2010,Non Fiction
"Dune (Dune Chronicles, Book 1)",Frank Herbert,4.7,"63,421",$12.01,$13,2021,Fiction
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,4.5,720,$1.00,$1,2009,Non Fiction
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,4.3,956,$14.00,$14,2009,Non Fiction
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,"6,346",$9.00,$9,2011,Non Fiction
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,"6,346",$9.00,$9,2012,Non Fiction
Eclipse (Twilight Sagas),Stephenie Meyer,4.7,"5,505",$7.00,$7,2009,Fiction
Eclipse (Twilight),Stephenie Meyer,4.7,"5,505",$18.00,$18,2009,Fiction
Educated: A Memoir,Tara Westover,4.7,"28,729",$15.00,$15,2018,Non Fiction
Educated: A Memoir,Tara Westover,4.7,"28,729",$15.00,$15,2019,Non Fiction
Educated: A Memoir,Tara Westover,4.7,"45,351",$11.00,$11,2020,Non Fiction
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints???????",Johanna Basford,4.7,"5,413",$9.00,$9,2015,Non Fiction
Fahrenheit 451,Ray Bradbury,4.6,"10,721",$8.00,$8,2016,Fiction
Fahrenheit 451,Ray Bradbury,4.6,"10,721",$8.00,$8,2018,Fiction
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,4.7,"4,370",$15.00,$15,2016,Fiction
Fear: Trump in the White House,Bob Woodward,4.4,"6,042",$2.00,$2,2018,Non Fiction
Fifty Shades Darker,E L James,4.4,"23,631",$7.00,$7,2012,Fiction
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,4.5,"20,262",$11.00,$11,2012,Fiction
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,"47,265",$14.00,$14,2012,Fiction
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,"47,265",$14.00,$14,2013,Fiction
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.5,"13,964",$32.00,$32,2012,Fiction
Fire and Fury: Inside the Trump White House,Michael Wolff,4.2,"13,677",$6.00,$6,2018,Non Fiction
First 100 Words,Roger Priddy,4.7,"17,323",$4.00,$4,2014,Non Fiction
First 100 Words,Roger Priddy,4.7,"17,323",$4.00,$4,2015,Non Fiction
First 100 Words,Roger Priddy,4.7,"17,323",$4.00,$4,2016,Non Fiction
First 100 Words,Roger Priddy,4.7,"17,323",$4.00,$4,2017,Non Fiction
First 100 Words,Roger Priddy,4.7,"17,323",$4.00,$4,2018,Non Fiction
Food Rules: An Eater's Manual,Michael Pollan,4.4,"1,555",$9.00,$9,2010,Non Fiction
Frozen (Little Golden Book),RH Disney,4.7,"3,642",$0.00,$0,2014,Fiction
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,4.4,"1,215",$9.00,$9,2010,Non Fiction
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,"5,594",$5.00,$5,2011,Fiction
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,"5,594",$5.00,$5,2012,Fiction
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,"5,594",$5.00,$5,2013,Fiction
George Washington's Sacred Fire,Peter A. Lillback,4.5,408,$20.00,$20,2010,Non Fiction
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4.6,"4,799",$16.00,$16,2013,Non Fiction
Get Out of Your Head: Stopping the Spiral of Toxic Thoughts,Jennie Allen,4.7,"12,879",$14.00,$14,2020,Non Fiction
Giraffes Can't Dance,Giles Andreae,4.8,"14,038",$4.00,$4,2015,Fiction
Giraffes Can't Dance,Giles Andreae,4.8,"14,038",$4.00,$4,2016,Fiction
Giraffes Can't Dance,Giles Andreae,4.8,"14,038",$4.00,$4,2017,Fiction
Giraffes Can't Dance,Giles Andreae,4.8,"14,038",$4.00,$4,2018,Fiction
Giraffes Can't Dance,Giles Andreae,4.8,"14,038",$4.00,$4,2019,Fiction
Giraffes Can't Dance,Giles Andreae,4.8,"23,356",$6.00,$6,2020,Fiction
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,4.6,"7,660",$12.00,$12,2019,Non Fiction
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,"22,288",$12.00,$12,2018,Non Fiction
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,"22,288",$12.00,$12,2019,Non Fiction
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,4.6,"1,365",$11.00,$11,2009,Non Fiction
Go Set a Watchman: A Novel,Harper Lee,3.6,"14,982",$19.00,$19,2015,Fiction
Go Tell the Bees That I Am Gone: A Novel (Outlander) ,Diana Gabaldon,4.7,"52,777",$18.00,$18,2021,Fiction
Go the F**k to Sleep,Adam Mansbach,4.8,"9,568",$9.00,$9,2011,Fiction
Going Rogue: An American Life,Sarah Palin,4.6,"1,636",$6.00,$6,2009,Non Fiction
Gone Girl,Gillian Flynn,4.0,"57,271",$10.00,$10,2012,Fiction
Gone Girl,Gillian Flynn,4.0,"57,271",$10.00,$10,2013,Fiction
Gone Girl,Gillian Flynn,4.0,"57,271",$9.00,$9,2014,Fiction
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,4.6,"10,141",$6.00,$6,2019,Non Fiction
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,"3,457",$14.00,$14,2009,Non Fiction
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,"3,457",$14.00,$14,2010,Non Fiction
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,"3,457",$14.00,$14,2011,Non Fiction
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,"3,457",$14.00,$14,2012,Non Fiction
Goodnight Moon,Margaret Wise Brown,4.8,"8,837",$5.00,$5,2017,Fiction
Goodnight Moon,Margaret Wise Brown,4.8,"8,837",$5.00,$5,2018,Fiction
Goodnight Moon,Margaret Wise Brown,4.8,"8,837",$5.00,$5,2019,Fiction
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,"7,038",$7.00,$7,2012,Fiction
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,"7,038",$7.00,$7,2013,Fiction
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,4.6,"5,972",$10.00,$10,2014,Non Fiction
Greenlights,Matthew McConaughey,4.7,"26,740",$18.00,$18,2020,Non Fiction
Greenlights,Matthew McConaughey,4.7,"58,357",$15.98,$16,2021,Non Fiction
Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,4.4,"25,624",$14.00,$14,2015,Fiction
Grumpy Monkey,Suzanne Lang,4.8,"22,383",$10.62,$11,2021,Fiction
Guts,Raina Telgemeier,4.8,"5,476",$7.00,$7,2019,Non Fiction
Hamilton: The Revolution,Lin-Manuel Miranda,4.9,"5,867",$54.00,$54,2016,Non Fiction
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,4.8,"4,148",$11.00,$11,2013,Non Fiction
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,4.9,"19,622",$30.00,$30,2016,Fiction
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,4.0,"23,973",$12.00,$12,2016,Fiction
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,4.9,"7,758",$18.00,$18,2019,Fiction
"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",J.K. Rowling,4.9,"3,146",$30.00,$30,2017,Fiction
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,4.9,"10,052",$22.00,$22,2016,Fiction
Harry Potter Coloring Book,Scholastic,4.7,"3,564",$9.00,$9,2015,Non Fiction
Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,4.8,"13,471",$52.00,$52,2016,Fiction
Have a Little Faith: A True Story,Mitch Albom,4.8,"1,930",$4.00,$4,2009,Non Fiction
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,"15,779",$10.00,$10,2011,Non Fiction
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,"15,779",$10.00,$10,2012,Non Fiction
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,"15,526",$14.00,$14,2016,Non Fiction
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,"15,526",$14.00,$14,2017,Non Fiction
Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,4.8,"3,776",$22.00,$22,2018,Non Fiction
How to Be an Antiracist,Ibram X. Kendi,4.8,"19,555",$13.00,$13,2020,Non Fiction
How to Catch a Mermaid,Adam Wallace,4.8,"17,538",$6.00,$6,2020,Fiction
How to Catch a Mermaid,Adam Wallace,4.8,"29,121",$6.00,$6,2021,Fiction
How to Catch a Unicorn,Adam Wallace,4.8,"19,988",$5.00,$5,2020,Fiction
How to Win Friends & Influence People,Dale Carnegie,4.7,"25,001",$11.00,$11,2014,Non Fiction
How to Win Friends & Influence People,Dale Carnegie,4.7,"25,001",$11.00,$11,2015,Non Fiction
How to Win Friends & Influence People,Dale Carnegie,4.7,"25,001",$11.00,$11,2016,Non Fiction
How to Win Friends & Influence People,Dale Carnegie,4.7,"25,001",$11.00,$11,2017,Non Fiction
How to Win Friends & Influence People,Dale Carnegie,4.7,"25,001",$11.00,$11,2018,Non Fiction
How to Win Friends & Influence People,Dale Carnegie,4.7,"70,752",$10.58,$11,2021,Non Fiction
Howard Stern Comes Again,Howard Stern,4.3,"5,272",$16.00,$16,2019,Non Fiction
Human Body Activity Book for Kids: Hands-On Fun for Grades K-3,Katie Stokes,4.7,"14,128",$5.00,$5,2020,Non Fiction
Humans of New York,Brandon Stanton,4.8,"3,490",$15.00,$15,2013,Non Fiction
Humans of New York,Brandon Stanton,4.8,"3,490",$15.00,$15,2014,Non Fiction
Humans of New York : Stories,Brandon Stanton,4.9,"2,812",$17.00,$17,2015,Non Fiction
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,4.7,"4,896",$17.00,$17,2013,Non Fiction
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,4.8,"9,737",$7.00,$7,2019,Non Fiction
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,4.8,"20,485",$9.00,$9,2020,Non Fiction
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls ",Hopscotch Girls,4.8,"31,640",$6.99,$7,2021,Non Fiction
I Love You to the Moon and Back,Amelia Hepworth,4.9,"24,356",$1.00,$1,2020,Fiction
I Love You to the Moon and Back,Amelia Hepworth,4.9,"58,200",$4.31,$5,2021,Fiction
"I, Alex Cross",James Patterson,4.6,"1,320",$7.00,$7,2009,Fiction
If Animals Kissed Good Night,Ann Whitford Paul,4.8,"16,643",$4.00,$4,2017,Fiction
